P;Diapason;Timestamp;Date;Start Time;Legth;L_verb;Buy Type;Sell Type;Start;End;Prc (Loss);Alg_Prc;Diapason;# max;Prc Max;# min;Prc Min;Prc30;Prc80;Prc130;Prc180;Prc360;Prc720;Der30;Der80;Der130;Der180;Der360;Der720;NonD30;NonD80;NonD130;NonD180;NonD360;NonD720;Plus30;Plus80;Plus130;Plus180;Plus360;Plus720;Weight
L;7322-8686;1684439156;18.05.23;22:45:56;1364;4:13:56;buy_ascent;final_sell;115,61;117,99;+2,06;+2,78;7322-8685;8243;4,24;7528;-1,34;0,79;1,49;1,49;1,76;2,10;-3,62;0,16;0,11;0,07;0,06;0,03;-0,03;97,06;90,70;86,36;90,91;85,11;3,92;64,71;76,47;74,51;78,43;78,43;3,92;46,92
L;197-563;1684445807;19.05.23;00:36:47;366;1:8:12;buy_ascent;sell_step_base;115,61;117,41;+1,56;+2,27;197-5510;524;3,80;1819;-0,89;0,53;0,97;1,17;1,15;1,56;2,72;0,11;0,07;0,05;0,04;0,03;0,02;87,80;95,45;95,45;93,18;93,18;95,92;70,59;82,35;82,35;80,39;80,39;92,16;41,37
S;5511-8698;1684505207;19.05.23;17:06:47;3187;9:53:7;buy_ascent;final_sell;117,41;114,19;-2,75;-2,06;5511-8697;5986;0,99;5920;-4,40;0,60;1,05;1,04;1,02;1,22;0,23;0,12;0,08;0,05;0,03;0,02;0,00;90,32;94,29;88,89;91,89;88,10;63,64;54,90;64,71;62,75;66,67;72,55;54,90;36,18
S;1200-3620;1684543385;20.05.23;03:43:05;2420;7:34:55;buy_ascent;sell_step_long;117,41;116,23;-1,01;-0,31;1200-7068;1923;0,86;6727;-3,39;0,57;0,97;1,35;1,48;1,74;1,69;0,11;0,07;0,06;0,05;0,03;0,01;90,00;94,12;90,00;95,24;88,64;86,67;52,94;62,75;70,59;78,43;76,47;76,47;52,68
S;7069-8627;1684609514;20.05.23;22:05:14;1558;4:51:8;buy_ascent;sell_step_long;116,23;115,07;-1,00;-0,30;7069-8627;7083;0,09;8575;-3,47;0,96;1,12;1,09;1,10;1,13;-0,72;0,19;0,08;0,05;0,04;0,02;-0,01;93,75;88,89;88,89;88,57;82,93;39,13;58,82;62,75;62,75;60,78;66,67;35,29;38,63
S;4429-5442;1684666252;21.05.23;13:50:52;1013;3:9:28;buy_ascent;sell_step_base;116,23;115,75;-0,41;+0,29;4429-6003;6003;2,68;5693;-0,90;0,64;0,89;0,95;0,96;1,23;0,91;0,13;0,07;0,04;0,03;0,02;0,01;93,75;89,74;92,68;92,68;90,48;78,26;53,57;62,50;67,86;67,86;67,86;64,29;51,90
S;6004-6469;1684683902;21.05.23;18:45:02;465;1:26:54;buy_ascent;sell_step_base;115,75;115,28;-0,40;+0,30;6004-7687;7686;1,89;6970;-1,00;1,94;2,35;2,32;2,28;2,26;1,49;0,39;0,18;0,11;0,08;0,04;0,01;95,12;95,35;95,45;95,56;87,50;76,47;69,64;73,21;75,00;76,79;75,00;69,64;36,08
S;31-1821;1684703154;22.05.23;00:05:54;1790;5:35:17;buy_ascent;sell_step_long;115,75;118,03;+1,97;+2,69;31-3007;1212;3,26;566;-2,76;0,57;1,06;1,09;1,18;1,00;0,58;0,11;0,08;0,05;0,04;0,02;0,00;87,10;90,91;90,91;94,12;86,11;72,50;48,21;53,57;53,57;57,14;55,36;51,79;39,24
L;3008-4916;1684736604;22.05.23;09:23:24;1908;5:58:53;buy_ascent;sell_step_long;118,03;119,14;+0,94;+1,65;3008-7643;5382;3,79;3525;-0,09;0,99;1,14;1,25;1,18;1,72;2,28;0,20;0,09;0,06;0,04;0,03;0,02;97,37;92,86;89,36;87,23;88,00;92,16;66,07;69,64;75,00;73,21;78,57;83,93;42,59
L;1475-3272;1684805683;23.05.23;04:34:43;1797;5:37:41;buy_ascent;sell_step_long;118,03;121,56;+2,99;+3,71;1475-6784;2277;5,31;6784;-1,04;1,96;2,37;2,44;2,52;1,83;1,42;0,39;0,18;0,11;0,08;0,03;0,01;97,73;97,78;95,83;92,16;86,79;77,78;76,79;78,57;82,14;83,93;82,14;75,00;37,46
S;6785-8313;1684866515;23.05.23;21:28:35;1528;4:47:30;buy_ascent;sell_step_long;121,56;119,57;-1,64;-0,94;6785-8313;6965;0,20;7675;-1,55;0,51;0,83;0,93;0,93;1,26;0,85;0,10;0,06;0,04;0,03;0,02;0,01;95,45;100,00;97,30;94,59;88,10;81,82;37,50;60,71;64,29;62,50;66,07;64,29;50,56
S;2050-2143;1684898696;24.05.23;06:24:56;93;0:17:21;buy_ascent;sell_ch_deriv_N1;121,56;125,95;+3,61;+4,34;2050-5312;5312;13,66;2050;0,00;0,38;0,78;0,97;0,85;1,07;0,96;0,08;0,06;0,04;0,03;0,02;0,01;85,19;96,88;93,75;90,91;91,18;81,82;41,07;55,36;53,57;53,57;55,36;64,29;42,23
S;5313-5435;1684936248;24.05.23;16:50:48;122;0:24:3;buy_ascent;sell_step_base;125,95;127,94;+1,58;+2,29;5313-7529;5333;4,60;7389;-0,24;1,03;1,20;1,65;1,95;2,00;2,06;0,21;0,09;0,08;0,07;0,03;0,02;97,56;86,67;91,49;93,75;93,75;90,20;71,43;69,64;76,79;80,36;80,36;82,14;43,13
S;1412-1441;1684977988;25.05.23;04:26:28;29;0:5:27;buy_ascent;sell_ch_deriv_N2;125,95;126,16;+0,17;+0,87;1412-4800;1427;1,92;2929;-8,87;1,82;2,18;2,19;2,60;3,63;4,19;0,36;0,16;0,10;0,09;0,06;0,03;100,00;97,78;97,78;100,00;100,00;97,92;78,57;78,57;78,57;80,36;83,93;83,93;54,87
L;4801-5358;1685016286;25.05.23;15:04:46;557;1:45:14;buy_ascent;sell_step_base;126,16;125,53;-0,50;+0,20;4801-7074;5020;1,59;6005;-3,23;0,70;0,98;1,21;1,06;0,90;0,92;0,14;0,07;0,06;0,04;0,02;0,01;96,77;100,00;97,14;84,62;80,49;78,57;53,57;60,71;60,71;58,93;58,93;58,93;42,36
L;7075-8614;1685041933;25.05.23;22:12:13;1539;4:47:46;buy_ascent;final_sell;125,53;122,77;-2,20;-1,51;7075-8613;7100;0,26;7839;-2,35;1,42;1,63;1,61;1,55;1,49;2,24;0,28;0,12;0,07;0,05;0,02;0,02;93,33;89,80;87,76;89,80;87,76;90,20;75,00;78,57;76,79;78,57;76,79;82,14;35,01
L;6840-8613;1685298403;28.05.23;21:26:43;1773;5:33:15;buy_ascent;final_sell;125,53;130,00;+3,56;+4,29;6840-8612;8113;6,04;7357;-1,10;0,89;1,22;1,27;1,30;1,93;2,08;0,18;0,09;0,06;0,04;0,03;0,02;92,11;97,62;93,33;89,36;94,00;85,19;62,50;73,21;75,00;75,00;83,93;82,14;45,99
L;331-991;1685311352;29.05.23;01:02:32;660;2:4:1;buy_ascent;sell_step_base;125,53;125,62;+0,07;+0,78;331-2342;457;2,19;2342;-3,67;1,19;1,59;2,28;2,38;2,67;2,55;0,24;0,12;0,11;0,08;0,04;0,02;95,83;97,96;94,00;94,12;98,08;92,59;82,14;85,71;83,93;85,71;91,07;89,29;62,86
S;2343-3999;1685334078;29.05.23;07:21:18;1656;5:13:34;buy_ascent;sell_step_long;125,62;121,90;-2,96;-2,28;2343-4748;4408;1,22;3180;-2,09;0,50;0,96;1,31;1,50;1,89;2,57;0,10;0,07;0,06;0,05;0,03;0,02;96,77;95,24;93,18;97,83;97,96;92,59;53,57;71,43;73,21;80,36;85,71;89,29;56,67
L;4749-6415;1685361312;29.05.23;14:55:12;1666;5:12:37;buy_ascent;sell_step_ball;121,90;114,75;-5,86;-5,20;4749-7655;4785;0,34;6415;-5,44;0,88;0,93;1,21;1,29;1,02;0,64;0,18;0,07;0,06;0,04;0,02;0,01;91,67;96,08;94,23;92,31;83,02;61,11;78,57;87,50;87,50;85,71;78,57;58,93;38,99
S;1159-2936;1685407003;30.05.23;03:36:43;1777;5:33:10;buy_ascent;sell_step_long;121,90;119,92;-1,63;-0,94;1159-5453;2632;2,76;4438;-2,86;0,96;1,08;1,14;1,18;1,53;0,59;0,19;0,08;0,05;0,04;0,03;0,00;93,55;94,12;89,47;87,50;86,05;56,86;51,79;57,14;60,71;62,50;66,07;51,79;36,00
S;5454-6839;1685455263;30.05.23;17:01:03;1385;4:20:49;buy_ascent;sell_step_base;119,92;119,44;-0,40;+0,30;5454-7674;6184;1,55;7282;-2,23;0,76;1,53;1,57;1,56;0,95;1,77;0,15;0,11;0,07;0,05;0,02;0,01;93,10;97,44;97,44;92,68;80,00;85,42;48,21;67,86;67,86;67,86;64,29;73,21;42,93
S;1663-6606;1685499050;31.05.23;05:10:50;4943;15:28:6;buy_ascent;sell_exch;119,92;127,86;+6,62;+7,37;1663-6605;5537;10,66;2252;-2,22;1,24;2,04;2,17;2,27;1,65;0,56;0,25;0,15;0,10;0,08;0,03;0,00;97,50;97,78;95,56;91,67;83,33;72,00;69,64;78,57;76,79;78,57;71,43;64,29;36,50
L;6606-8635;1685554736;31.05.23;20:38:56;2029;6:20:59;buy_ascent_exch;final_sell;127,86;128,52;+0,51;+1,22;6606-8634;6878;1,16;7883;-1,66;0,39;0,90;1,17;1,15;1,22;0,34;0,08;0,07;0,05;0,04;0,02;0,00;94,12;90,48;93,33;93,33;83,64;46,30;57,14;67,86;75,00;75,00;82,14;44,64;54,97
S;7202-8631;1685647940;01.06.23;22:32:20;1429;4:27:36;buy_ascent;final_sell;127,86;128,34;+0,38;+1,08;7202-8630;8483;2,66;7396;-0,80;0,67;0,86;0,92;0,91;1,16;1,08;0,13;0,06;0,04;0,03;0,02;0,01;86,11;89,47;87,18;87,80;83,33;67,39;55,36;60,71;60,71;64,29;62,50;55,36;39,74
